test,mode,rc,elapsed_s,stats_fresh,tasks,max_complete_us,avg_complete_us,log,stats
test01_tp_all_gather,NONE,0,15.0,True,2,39.156069,39.156069,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test01_tp_all_gather__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test01_tp_all_gather/case01_standard/output/task_statistics.csv
test01_tp_all_gather,POD_LOCAL,0,15.0,True,2,39.156069,39.156069,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test01_tp_all_gather__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test01_tp_all_gather/case01_standard_pod_local/output/task_statistics.csv
test02_cp_all_to_all,NONE,0,15.0,True,12,216.416953,214.816495,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test02_cp_all_to_all__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test02_cp_all_to_all/case01_standard/output/task_statistics.csv
test02_cp_all_to_all,POD_LOCAL,0,20.0,True,12,216.416953,214.816495,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test02_cp_all_to_all__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test02_cp_all_to_all/case01_standard_pod_local/output/task_statistics.csv
test03_tp_reduce_scatter,NONE,0,15.0,True,2,182.654834,182.647085,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test03_tp_reduce_scatter__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test03_tp_reduce_scatter/case01_standard/output/task_statistics.csv
test03_tp_reduce_scatter,POD_LOCAL,0,15.0,True,2,182.654834,182.647085,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test03_tp_reduce_scatter__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test03_tp_reduce_scatter/case01_standard_pod_local/output/task_statistics.csv
test04_tp_reduce_scatter,NONE,0,15.0,True,2,91.720826,91.715291,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test04_tp_reduce_scatter__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test04_tp_reduce_scatter/case01_standard/output/task_statistics.csv
test04_tp_reduce_scatter,POD_LOCAL,0,15.0,True,2,91.720826,91.715291,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test04_tp_reduce_scatter__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test04_tp_reduce_scatter/case01_standard_pod_local/output/task_statistics.csv
test05_ep_all_to_all,NONE,0,25.0,True,12,629.316265,626.212612,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test05_ep_all_to_all__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test05_ep_all_to_all/case01_standard/output/task_statistics.csv
test05_ep_all_to_all,POD_LOCAL,0,30.0,True,12,629.316265,626.212612,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test05_ep_all_to_all__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test05_ep_all_to_all/case01_standard_pod_local/output/task_statistics.csv
test06_pp_send_recv,NONE,0,45.0,True,8,390.292343,381.626199,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test06_pp_send_recv__NONE.log,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/test06_pp_send_recv/case01_standard/output/task_statistics.csv
test06_pp_send_recv,POD_LOCAL,0,105.0,True,8,390.292343,381.626199,/home/a81257/gitcode0519/ns-3-ub/scratch/pod1d_no_access_pairwise_2mb_full_ps/batch_run_logs/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test06_pp_send_recv__POD_LOCAL.log,/tmp/none_vs_podlocal_standard_after_uniform_guard_20260702_215648/test06_pp_send_recv/case01_standard_pod_local/output/task_statistics.csv
